the_geom,amenity,name,cartodb_id
0101000020E61000005CE49EAEEEA80DC0401B1428BD354440,restaurant,El Asador de Aranda,223
0101000020E61000003F236CD333A80DC0C7C1001D413D4440,pub,Uceda,352
0101000020E61000000457790261570DC0D0B69A75C6404440,restaurant,La Taberna Andaluza,354
0101000020E610000081D2AB5C03960DC0EA29CD412B364440,bar,El Buo,1499
0101000020E6100000F254D16927240DC055D2D4FC42384440,bar,QOF,1778
0101000020E61000007646A5225FA30DC022E3ACE353354440,cafe,La Mallorquina,2012
0101000020E6100000455CA56032AA0DC0E7A6727F9A344440,cafe,Same,2535
0101000020E6100000FAB083EFA2E40EC0F3380CE6AF3A4440,restaurant,DeMaría,2596
0101000020E6100000D454055905200EC0EE76627BD2324440,restaurant,Campa,2940
0101000020E610000053D0ED258D610EC03628507A95324440,restaurant,Wok Garden,3046
0101000020E6100000310917F2085E0CC0B642FDD3B2364440,bar,Argentina,3596
0101000020E6100000AE07382971020EC0505A136635344440,fast_food,Asador de Pollos,3663
0101000020E61000002ECD08CAC8E40EC0C3EAD9BD26294440,fast_food,TelePizza,3891
0101000020E6100000381092054C600DC00FD07D39B3334440,restaurant,Vermont,4308
0101000020E6100000F6EFFACC59AF0DC0FBDF5BA2C4334440,restaurant,Restaurante El Perenquén,4388
0101000020E6100000A29E99BBF1990DC0E76AD03C25364440,nightclub,El Intruso,4668
0101000020E610000030140BD7FEA90DC013C3C4D5B7364440,pub,Moloko Sound Club,4883
0101000020E6100000B8184D7853AB0DC007EA944737364440,bar,Bar Selva,4976
0101000020E61000000304183B869C0DC0013E2E60B8354440,cafe,Café y Té,5143
0101000020E610000023B6604E759D0DC01E1840F850364440,cafe,Naif,5256
0101000020E6100000338AE59656030EC00B0C59DDEA314440,restaurant,Gallego,5556
0101000020E610000090D6BDBACF360DC0770E0AEF17344440,shop,Díaz Bravo,5907
0101000020E6100000BECDD1996A2C0DC0FFF455A824334440,shop,Prensa,6098
0101000020E6100000B00FFCB9B2250EC003B4AD669D324440,bar,Cris,6311
0101000020E610000042E3D3ADE8900DC07B6C263A26344440,restaurant,Restaurante Reina Sofía,6554
0101000020E61000001711209E80B10DC018714BF5AE344440,fast_food,The Good Burger,7653
